파일이름	Subtitle	Machine Translation	Time	분	초
김씨네편의점_season01_02.xlsx	Old shoes?	낡은 신발?	2:37	2	37
김씨네편의점_season01_02.xlsx	I told you he wouldn't get it.	그가 그걸 얻지 못할 거라고 말했잖아.	2:38	2	38
김씨네편의점_season01_02.xlsx	I get! You take picture of old shoes.	알았어! 넌 낡은 신발 사진을 찍었어.	2:39	2	39
김씨네편의점_season01_02.xlsx	UMMA: Very beautiful old shoes.	엄마: 정말 예쁜 낡은 신발이야.	2:42	2	42
김씨네편의점_season01_02.xlsx	And this is telephone pole.	그리고 이건 전화 통신 기둥이야.	2:44	2	44
김씨네편의점_season01_02.xlsx	Very beautiful telephone pole.	정말 예쁜 전화 통신 기둥이야.	2:46	2	46
김씨네편의점_season01_02.xlsx	Thank you, Umma.	고마워, 엄마.	2:47	2	47
김씨네편의점_season01_02.xlsx	I'm not say you not take nice picture,	네가 좋은 사진을 찍지 않았다고 말하는 건 아니지만,	2:48	2	48
김씨네편의점_season01_02.xlsx	but people like nice picture with nice thing in.	사람들은 좋은 것과 함께 멋진 사진을 좋아해.	2:51	2	51
김씨네편의점_season01_02.xlsx	Flower, tree... Oh.	꽃, 나무... 아.	2:56	2	56
김씨네편의점_season01_02.xlsx	Like this.	이렇게.	3:00	3	00
김씨네편의점_season01_02.xlsx	UMMA: Also very pretty.	엄마: 그것도 정말 예쁘네.	3:02	3	02
김씨네편의점_season01_02.xlsx	What kind of mark you think this get?	이 표시가 어떤 점수를 받을 거라고 생각해?	3:04	3	04
김씨네편의점_season01_02.xlsx	-(GROANS) Appa... -No, it's good picture.	-(신음) 아빠... -아니, 좋은 사진이야.	3:06	3	06
김씨네편의점_season01_02.xlsx	Yes.	응.	3:08	3	08
김씨네편의점_season01_02.xlsx	Very centered.	정말 중앙에 잘 맞춰져 있어.	3:09	3	09
김씨네편의점_season01_02.xlsx	You think this is not art?	이게 예술이 아니라고 생각해?	3:11	3	11
김씨네편의점_season01_02.xlsx	No, there's just a lot of different types of art.	아니, 예술의 종류가 정말 다양할 뿐이야.	3:14	3	14
김씨네편의점_season01_02.xlsx	So now what she do is better than what I do.	그러니까 지금 그녀가 하는 게 내가 하는 것보다 더 낫다는 거네.	3:19	3	19
김씨네편의점_season01_02.xlsx	Yes, much better.	응, 훨씬 더 낫지.	3:22	3	22
김씨네편의점_season01_02.xlsx	No.	아니.	3:24	3	24
김씨네편의점_season01_02.xlsx	In art school everything is just talking,	미술 학교에서는 그냥 말만 하고,	3:25	3	25
김씨네편의점_season01_02.xlsx	drinking $5 coffee, and making art for yourself.	5달러짜리 커피를 마시고, 자기 자신을 위한 예술을 만들 뿐이야.	3:27	3	27
김씨네편의점_season01_02.xlsx	But in real world,	하지만 현실에서는,	3:31	3	31
김씨네편의점_season01_02.xlsx	people like to see picture of a beautiful thing.	사람들은 아름다운 것의 사진을 보고 싶어 해.	3:32	3	32
김씨네편의점_season01_02.xlsx	-Whatever. -You whatever.	-됐어. -너나 됐어.	3:36	3	36
김씨네편의점_season01_02.xlsx	Take out garbage,	쓰레기를 치우고,	3:39	3	39
김씨네편의점_season01_02.xlsx	don't take picture of garbage. (SNICKERS) (Door opens)	쓰레기 사진은 찍지 마. (킥킥) (문이 열린다)	3:41	3	41
김씨네편의점_season01_02.xlsx	Perfect.	완벽하군.	3:47	3	47
김씨네편의점_season01_02.xlsx	More perfect.	더 완벽해.	3:54	3	54
김씨네편의점_season01_02.xlsx	-TERENCE: Hey, Jung. -Hey, Terence.	-테렌스: 야, 정. -야, 테렌스.	3:55	3	55
김씨네편의점_season01_02.xlsx	What's up with the suit, buddy? Fuckin' guy.	어떻게 된 수트야, 친구? 젠장맞을 녀석.	3:57	3	57
김씨네편의점_season01_02.xlsx	He's got a funeral. His uncle just died.	장례식에 간 거야. 삼촌이 돌아가셨대.	4:00	4	00
김씨네편의점_season01_02.xlsx	Is that what he told you?	그게 네가 들은 얘기야?	4:02	4	02
김씨네편의점_season01_02.xlsx	Come on. He's going after the assistant manager job.	이봐. 그는 보조 관리자 자리를 노리고 있어.	4:04	4	04
김씨네편의점_season01_02.xlsx	Like a idiot!	바보처럼!	4:06	4	06
김씨네편의점_season01_02.xlsx	Why's he an idiot?	왜 바보야?	4:08	4	08
김씨네편의점_season01_02.xlsx	Assistant manager makes more money,	보조 관리자는 돈도 더 많고,	4:10	4	10
김씨네편의점_season01_02.xlsx	got his own office, more responsibility...	자기 사무실도 있고, 책임도 더 많고...	4:12	4	12
김씨네편의점_season01_02.xlsx	Exactly.	그렇지.	4:14	4	14
김씨네편의점_season01_02.xlsx	Like an idiot.	바보처럼.	4:15	4	15
김씨네편의점_season01_02.xlsx	Back here, we do whatever we want.	여기서는 우리가 원하는 대로 해.	4:16	4	16
김씨네편의점_season01_02.xlsx	We find an iPod, boom, we got a new iPod.	아이팟을 찾으면, 펑, 새로운 아이팟을 얻지.	4:18	4	18
김씨네편의점_season01_02.xlsx	We find some gum, boom, we got some gum.	껌을 찾으면, 펑, 껌을 얻지.	4:23	4	23
김씨네편의점_season01_02.xlsx	Up front, Shannon's watching you like a hawk.	계산대에서는, 섀넌이 너를 매처럼 감시하고 있어.	4:25	4	25
김씨네편의점_season01_02.xlsx	She's watching 'cause someone keeps stealing the iPods.	누군가가 계속 아이팟을 훔쳐서 감시하는 거야.	4:28	4	28
김씨네편의점_season01_02.xlsx	I've been here longer than anybody.	내가 여기 누구보다 오래 있었어.	4:30	4	30
김씨네편의점_season01_02.xlsx	If I wanted to be assistant manager,	만약 내가 부점장이 되고 싶었다면,	4:32	4	32
김씨네편의점_season01_02.xlsx	I would have gone done it already.	이미 그렇게 했을 거야.	4:34	4	34
김씨네편의점_season01_02.xlsx	Oh, damn, short interview, T-Bag.	오, 이런, 짧은 면접이었네, 티백.	4:37	4	37
김씨네편의점_season01_02.xlsx	You crash and burn in there?	거기서 망했어?	4:39	4	39
김씨네편의점_season01_02.xlsx	Dude, his uncle died in a fire.	친구, 그의 삼촌은 화재로 죽었어.	4:42	4	42
김씨네편의점_season01_02.xlsx	Condolences, man.	삼가 고인의 명복을 빕니다.	4:46	4	46
김씨네편의점_season01_02.xlsx	You wanna hug it out?	안아줄까?	4:48	4	48
김씨네편의점_season01_02.xlsx	PASTOR CHOI: Mrs. Park.	최 목사: 박 집사님.	4:56	4	56
김씨네편의점_season01_02.xlsx	I think you collect most clothes.	옷을 가장 많이 모으신 것 같아요.	4:58	4	58
김씨네편의점_season01_02.xlsx	(CHUCKLES) You're welcome, Pastor Choi.	(웃음) 천만에요, 최 목사님.	5:00	5	00
김씨네편의점_season01_02.xlsx	Until Mrs. Kim walk in with twice as many.	김 집사님이 두 배나 더 많이 가져오기 전까지는요.	5:03	5	03
김씨네편의점_season01_02.xlsx	Two times more!	두 배나 더!	5:07	5	07
김씨네편의점_season01_02.xlsx	Oh, it's nothing. You welcome.	아, 별거 아니에요. 천만에요.	5:08	5	08
김씨네편의점_season01_02.xlsx	What you think?	어떻게 생각하세요?	5:12	5	12
김씨네편의점_season01_02.xlsx	You look very dapper.	정말 멋져 보여요.	5:16	5	16
김씨네편의점_season01_02.xlsx	Like Frank Sinatra!	프랭크 시나트라 같아요!	5:17	5	17
김씨네편의점_season01_02.xlsx	Good work, ladies.	잘했어요, 여러분.	5:19	5	19
김씨네편의점_season01_02.xlsx	He take your hat.	모자를 가져가시네요.	5:25	5	25
김씨네편의점_season01_02.xlsx	(SCOFFS) I'll get it later.	흥. 나중에 가져갈게요.	5:26	5	26
김씨네편의점_season01_02.xlsx	Mrs. Kim, how are your children?	김 집사님, 자녀분들은 어떻게 지내세요?	5:28	5	28
김씨네편의점_season01_02.xlsx	Oh, Janet just get very high mark in photography course.	아, 재닛이 사진 강좌에서 아주 높은 점수를 받았어요. 반에서 최고로요.	5:31	5	31
김씨네편의점_season01_02.xlsx	-Top of class. -Mmm.	-반에서 최고래. -음.	5:35	5	35
김씨네편의점_season01_02.xlsx	At college.	대학에서.	5:36	5	36
김씨네편의점_season01_02.xlsx	So, not university?	그럼, 대학교는 아니야?	5:38	5	38
김씨네편의점_season01_02.xlsx	No, OCAD is university.	아니, OCAD는 대학교야.	5:41	5	41
김씨네편의점_season01_02.xlsx	Then why is it called Ontario College of Art and Design?	그럼 왜 온타리오 예술 디자인 대학이라고 불리는 거야? 온타리오 예술 디자인 대학이라고?	5:43	5	43
김씨네편의점_season01_02.xlsx	I've heard OCAD's amazing.	OCAD가 정말 대단하다고 들었어요.	5:46	5	46
김씨네편의점_season01_02.xlsx	Yeah, very amazing.	응, 아주 훌륭하지.	5:48	5	48
김씨네편의점_season01_02.xlsx	You get university degree but also very practical.	대학교 학위를 받지만 아주 실용적이야.	5:49	5	49
김씨네편의점_season01_02.xlsx	Janet's so brave.	재닛은 정말 용감해.	5:53	5	53
김씨네편의점_season01_02.xlsx	It's hard to make a living as a photographer.	사진작가로 생계를 유지하기는 어렵잖아.	5:55	5	55
김씨네편의점_season01_02.xlsx	But then again,	하지만 다시 생각해보면,	5:57	5	57
김씨네편의점_season01_02.xlsx	where will we be without our starving artists?	우리 굶주린 예술가들이 없으면 우리가 어디에 있겠어?	5:59	5	59
김씨네편의점_season01_02.xlsx	Who say Janet going to be starving?	재닛이 굶주릴 거라고 누가 그래?	6:02	6	02
김씨네편의점_season01_02.xlsx	Maybe she is artist who eat and eat and eat.	어쩌면 그녀는 먹고 또 먹고 또 먹는 예술가일 수도 있지.	6:03	6	03
김씨네편의점_season01_02.xlsx	But not fat artist.	하지만 뚱뚱한 예술가는 아니고.	6:07	6	07
김씨네편의점_season01_02.xlsx	And don't you have a son?	그리고 아들도 있지 않으세요?	6:08	6	08
김씨네편의점_season01_02.xlsx	Yes...	네...	6:12	6	12
김씨네편의점_season01_02.xlsx	Working very hard.	아주 열심히 일하고 있어요.	6:12	6	12
김씨네편의점_season01_02.xlsx	At a car rental agency.	자동차 렌트 회사에서요.	6:13	6	13
김씨네편의점_season01_02.xlsx	Handy Car Rental. Best car to rent.	핸디 렌터카. 최고의 렌터카.	6:15	6	15
김씨네편의점_season01_02.xlsx	That's good to know if our car ever breaks down.	우리 차가 고장 나면 알아두면 좋겠네요.	6:18	6	18
김씨네편의점_season01_02.xlsx	Oh, but my BMW is very reliable.	오, 하지만 내 BMW는 아주 믿을 수 있어.	6:20	6	20
김씨네편의점_season01_02.xlsx	Oh, you have BMW?	오, 너 BMW가 있어?	6:23	6	23
김씨네편의점_season01_02.xlsx	You never mention it.	한 번도 언급한 적이 없는데.	6:25	6	25
김씨네편의점_season01_02.xlsx	Haven't I? No, I don't think so.	그랬나? 아니, 그렇게 생각하지 않아.	6:28	6	28
김씨네편의점_season01_02.xlsx	Oh, I have a BMW.	오, 나는 BMW가 있어.	6:31	6	31
김씨네편의점_season01_02.xlsx	JUNG: Hey, Shannon.	정: 안녕, 샤넌.	6:40	6	40
김씨네편의점_season01_02.xlsx	Oh, hi, Jung. How's it going? JUNG: Good. Good.	오, 안녕, 정. 잘 지내? 정: 좋아. 좋아.	6:41	6	41
김씨네편의점_season01_02.xlsx	Um, so listen, I was looking at your	음, 그래서 들어봐, 너의	6:44	6	44
김씨네편의점_season01_02.xlsx	assistant manager position. -Yeah.	부매니저 직책을 보고 있었어. -응.	6:46	6	46
김씨네편의점_season01_02.xlsx	Well, I thought I'd apply.	그래서 지원해 보려고 했어.	6:48	6	48
김씨네편의점_season01_02.xlsx	Well, okay. Uh, I think that's great.	그래, 좋아. 음, 그거 좋다고 생각해.	6:51	6	51
김씨네편의점_season01_02.xlsx	And, I actually have your resume on file, so...	그리고, 사실 네 이력서가 파일에 있어, 그래서...	6:53	6	53
김씨네편의점_season01_02.xlsx	I know, but I updated it.	알아, 하지만 업데이트했어.	6:55	6	55
김씨네편의점_season01_02.xlsx	There's some volunteer experience in there that I thought you should know about.	거기 자원봉사 경험이 좀 있어 당신이 알아두면 좋을 것 같아서요.	6:57	6	57
김씨네편의점_season01_02.xlsx	Well, you continue to impress.	음, 계속 인상적이네요.	7:00	7	00
김씨네편의점_season01_02.xlsx	I know that I haven't been here for very long,	제가 여기 있은 지 오래되지 않았다는 건 알지만,	7:03	7	03
김씨네편의점_season01_02.xlsx	but I really think that I could do a good job.	정말 좋은 일을 할 수 있다고 생각해요.	7:05	7	05
김씨네편의점_season01_02.xlsx	Oh, I think you'd do a great job.	오, 당신이 아주 좋은 일을 할 거라고 생각해요.	7:07	7	07
김씨네편의점_season01_02.xlsx	You've got wonderful people skills,	훌륭한 대인 관계 기술을 가지고 있고,	7:09	7	09
김씨네편의점_season01_02.xlsx	strong physical presence,	강한 체격 조건과,	7:12	7	12
김씨네편의점_season01_02.xlsx	amazing posture...	놀라운 자세...	7:14	7	14
김씨네편의점_season01_02.xlsx	When I picture someone under me... Working under me,	제가 부하 직원을 떠올릴 때... 제 밑에서 일하는 직원을 떠올릴 때,	7:16	7	16
김씨네편의점_season01_02.xlsx	that someone looks a lot like you.	그 직원은 당신과 아주 많이 닮았어요.	7:19	7	19
김씨네편의점_season01_02.xlsx	I'd be happy to recommend you,	당신을 추천하게 기쁠 거예요,	7:21	7	21
김씨네편의점_season01_02.xlsx	but Head Office will say	하지만 본사에서는 당신이	7:22	7	22
김씨네편의점_season01_02.xlsx	you don't have a high school diploma and you've got a bit of a checkered past.	고등학교 졸업장을 가지고 있지 않다고 할 거고, 약간 험한 과거가 있다고 할 거예요.	7:24	7	24
김씨네편의점_season01_02.xlsx	I was just a kid.	저는 그냥 어렸을 뿐이었어요.	7:27	7	27
김씨네편의점_season01_02.xlsx	-I mean, it was juvie. -I know, and to me that's	-제가 무슨 뜻인지 알아요. -알아요, 그리고 저는 그게	7:28	7	28
김씨네편의점_season01_02.xlsx	just compelling life experience.	그냥 흥미로운 인생 경험이라고 생각해요.	7:30	7	30
김씨네편의점_season01_02.xlsx	But to HR, it will make you a long shot.	하지만 인사팀에서는 당신을 어려운 후보자로 여길 거예요.	7:31	7	31
김씨네편의점_season01_02.xlsx	Well, is there anything that I can do to make it less of a long shot?	음, 제가 할 수 있는 일이 있을까요? 그렇게 어려운 후보자가 아니게 만들 수 있을까요?	7:34	7	34
김씨네편의점_season01_02.xlsx	Okay. Well, maybe we could turn this into a mentoring opportunity.	좋아. 음, 아마도 이걸 멘토링 기회로 바꿀 수 있을 것 같아.	7:38	7	38
김씨네편의점_season01_02.xlsx	Yeah! Yeah, that sounds great!	그래! 그래, 그거 좋다!	7:41	7	41
김씨네편의점_season01_02.xlsx	We could get together, discuss your career goals,	우리가 함께 모여서 당신의 경력 목표에 대해 논의하고,	7:43	7	43
김씨네편의점_season01_02.xlsx	where we see ourselves in five years...	5년 후 우리가 어디에 있을지에 대해...	7:45	7	45
김씨네편의점_season01_02.xlsx	(STAMMERS) With the company.	(더듬거리며) 회사에서.	7:47	7	47
김씨네편의점_season01_02.xlsx	-Uh, absolutely. -Grab a drink after work...	-어, 절대적으로. -퇴근 후에 한 잔 할까...	7:49	7	49
김씨네편의점_season01_02.xlsx	-Okay... -Even a working dinner	-좋아... -일하는 저녁도	7:51	7	51
김씨네편의점_season01_02.xlsx	wouldn't be entirely out of question.	전혀 불가능한 건 아닐 거야.	7:53	7	53
김씨네편의점_season01_02.xlsx	Or we could just talk here?	아니면 여기서 그냥 이야기할까?	7:55	7	55
김씨네편의점_season01_02.xlsx	Sure. Yeah. Even better.	물론이지. 응. 더 좋네.	7:58	7	58
김씨네편의점_season01_02.xlsx	It's actually better if I'm home early, so I can feed my cats.	사실 내가 집에 일찍 가는 게 더 좋아, 내 고양이들에게 밥을 줄 수 있으니까.	8:01	8	01
김씨네편의점_season01_02.xlsx	Well, just my one cat, and then there's these two other cats	음, 내 고양이는 하나뿐이야, 그리고 주변에 있는 두 마리 고양이가 더 있어.	8:04	8	04
김씨네편의점_season01_02.xlsx	that hang around, so...	그래서...	8:07	8	07
김씨네편의점_season01_02.xlsx	Why am I still talking about cats?	제가 왜 아직도 고양이 얘기를 하고 있죠?	8:09	8	09
김씨네편의점_season01_02.xlsx	Okay. I will do my best.	좋아. 최선을 다할게.	8:11	8	11
김씨네편의점_season01_02.xlsx	Great. Thanks, Shannon. Thank you.	잘 됐어요. 고마워요, 섀넌. 감사합니다.	8:14	8	14
김씨네편의점_season01_02.xlsx	MISS MURRAY: Okay, let me... Can you make them touch?	머레이 양: 알겠습니다. 제가... 만질 수 있게 해줄 수 있나요?	8:23	8	23
김씨네편의점_season01_02.xlsx	Oh, Janet.	오, 재닛.	8:27	8	27
김씨네편의점_season01_02.xlsx	I was just speaking to the Dean -about your last assignment... -Mmm-hmm.	총장님과 방금 이야기했어요. 당신의 마지막 과제에 대해... -음-흠.	8:29	8	29
김씨네편의점_season01_02.xlsx	And she agrees. We wanna show your photos	그리고 총장님도 동의하셨어요. 저희는 당신의 사진을 보여주고 싶어요.	8:32	8	32
김씨네편의점_season01_02.xlsx	at the school's Open House.	학교 오픈 하우스에서요.	8:34	8	34
김씨네편의점_season01_02.xlsx	Wow. That's amazing.	와. 정말 대단해요.	8:35	8	35
김씨네편의점_season01_02.xlsx	You know, it's rare that a student's work really impresses me.	알다시피, 학생의 작품이 저를 정말 감동시키는 경우는 드물어요.	8:37	8	37
김씨네편의점_season01_02.xlsx	-Thank you. -And yours comes very close.	-감사합니다. -그리고 당신의 작품은 아주 근접했어요.	8:40	8	40
김씨네편의점_season01_02.xlsx	Wait. Isn't the Open House tomorrow?	잠깐만요. 오픈 하우스가 내일 아니었나요?	8:45	8	45
김씨네편의점_season01_02.xlsx	Yes. I'll be honest. Somebody dropped out.	네. 솔직히 말해서, 누군가 빠졌어요.	8:48	8	48
김씨네편의점_season01_02.xlsx	But, hey, look, if you don't think	하지만, 봐요, 만약 당신이 생각하지 않는다면	8:50	8	50
김씨네편의점_season01_02.xlsx	-that you can be ready... -No, no, I can do it.	-준비될 수 있다고... -아니요, 아니요, 할 수 있어요.	8:52	8	52
김씨네편의점_season01_02.xlsx	I actually think my work will look better in a big space.	저는 제 작품이 더 잘 보일 거라고 생각해요. 큰 공간에서요.	8:54	8	54
김씨네편의점_season01_02.xlsx	I have some ideas how they could be put up.	어떻게 걸어둘지에 대한 아이디어가 있어요.	8:56	8	56
김씨네편의점_season01_02.xlsx	Maybe some high grain, uh, high contrast shots	아마도 높은 질감, 어, 높은 대비의 장면들이	8:58	8	58
김씨네편의점_season01_02.xlsx	interspersed with the underexposed tableau images...	저노출된 태블로 이미지들과 번갈아 가며...	9:01	9	01
김씨네편의점_season01_02.xlsx	And I can't wait to see how this turns out.	이것이 어떻게 될지 정말 기대돼요.	9:03	9	03
김씨네편의점_season01_02.xlsx	-See you tomorrow night. -Okay. Yes.	-내일 밤에 봐요. -알았어요. 네.	9:06	9	06
김씨네편의점_season01_02.xlsx	-Thank you! -No, thank you.	-감사합니다! -아니요, 감사합니다.	9:09	9	09
김씨네편의점_season01_02.xlsx	(WHISPERING) Up there.	(속삭이며) 저기요.	9:11	9	11
김씨네편의점_season01_02.xlsx	Yeah. Oh, my God.	네. 세상에.	9:15	9	15
김씨네편의점_season01_02.xlsx	Oh, Mr. Guggenheim.	오, Guggenheim 씨.	9:27	9	27
김씨네편의점_season01_02.xlsx	Maple tree collection selling very fast, huh.	단풍나무 컬렉션이 정말 빨리 팔리고 있네요, 그렇죠?	9:30	9	30
김씨네편의점_season01_02.xlsx	No, I don't have time.	아니요, 시간이 없어요.	9:34	9	34
김씨네편의점_season01_02.xlsx	-Do you realize... -(PHONE RINGING)	-알고 계세요... -(전화벨이 울린다)	9:35	9	35
김씨네편의점_season01_02.xlsx	Call waiting, other line. (CLEARS THROAT)	대기 통화, 다른 라인. (목을 가다듬는다)	9:39	9	39
김씨네편의점_season01_02.xlsx	Hello, Jeanne Beker?	여보세요, Jeanne Beker 씨?	9:42	9	42
김씨네편의점_season01_02.xlsx	MAN: (ON PHONE) Uh, no. What time you guys open till?	남자: (전화에서) 음, 아니요. 몇 시까지 영업하세요?	9:44	9	44
김씨네편의점_season01_02.xlsx	Okay, bye.	알았어요, 잘 가요.	9:45	9	45
김씨네편의점_season01_02.xlsx	Sorry. Just so many people wants to buy picture.	죄송해요. 그냥 너무 많은 사람들이 그림을 사려고 해요.	9:48	9	48
김씨네편의점_season01_02.xlsx	You want to buy picture? Nope.	그림을 사려고요? 아니요.	9:51	9	51
김씨네편의점_season01_02.xlsx	APPA: What you think?	아버지: 뭐 생각해?	9:56	9	56
김씨네편의점_season01_02.xlsx	I take in Algonking Park last October.	지난 10월 알곤킨 공원에서 찍었어요.	9:57	9	57
김씨네편의점_season01_02.xlsx	Oh, you took those pictures, Mr. Kim?	어, 김 선생님이 찍은 사진이에요?	10:00	10	00
김씨네편의점_season01_02.xlsx	Yeah. Special price.	네. 특별 가격이에요.	10:01	10	01
김씨네편의점_season01_02.xlsx	-No, trees aren't really my thing. -Okay.	-나무는 별로 안 좋아해요. -알겠어요.	10:03	10	03
김씨네편의점_season01_02.xlsx	-How about... -How much for that?	-그거는요... -가격이 얼마예요?	10:05	10	05
김씨네편의점_season01_02.xlsx	Porno Blooper Volume Six, $15.99.	포르노 실수 모음 6집, 15.99달러.	10:09	10	09
김씨네편의점_season01_02.xlsx	-No, no, that photo. -Huh?	-아니요, 아니요, 그 사진 말이에요. -네?	10:12	10	12
김씨네편의점_season01_02.xlsx	Why you want to buy? It's a manhole cover.	왜 사려고 해요? 하수구 뚜껑이에요.	10:14	10	14
김씨네편의점_season01_02.xlsx	I'll give you $30 for it.	30달러 줘요.	10:16	10	16
김씨네편의점_season01_02.xlsx	You'd pay $30 for this?	이거에 30달러를 지불할 거예요?	10:20	10	20
김씨네편의점_season01_02.xlsx	Okay, fine, $35.	알았어요, 35달러.	10:23	10	23
김씨네편의점_season01_02.xlsx	Not in focus. Not in center of frame.	초점이 안 맞아요. 프레임 중앙에 없어요.	10:25	10	25
김씨네편의점_season01_02.xlsx	$40, that's my final offer. Take it or leave it.	40달러, 최종 제안이에요. 가져가거나 버리거나.	10:28	10	28
김씨네편의점_season01_02.xlsx	-$45. Okay. -I'll take it.	-45달러. 좋아요. -살게요.	10:30	10	30
김씨네편의점_season01_02.xlsx	KIMCHEE: You're not doing this!	김치: 이러면 안 돼!	10:40	10	40
김씨네편의점_season01_02.xlsx	It's done.	됐어요.	10:42	10	42
김씨네편의점_season01_02.xlsx	I sent in my application.	지원서를 넣었어요.	10:43	10	43
김씨네편의점_season01_02.xlsx	KIMCHEE: For assistant manager?	김치: 점장 보조 지원해요?	10:44	10	44
김씨네편의점_season01_02.xlsx	You know what I'm going to call you, right?	내가 너 어떻게 부를 건지 알지?	10:46	10	46
김씨네편의점_season01_02.xlsx	Ass man.	엉덩이 남자.	10:48	10	48
김씨네편의점_season01_02.xlsx	-Because it's short for... -Yeah, I got it.	-줄임말이... -알았어.	10:50	10	50
김씨네편의점_season01_02.xlsx	You know what? I changed my mind.	알아요? 마음 바꿨어요.	10:52	10	52
김씨네편의점_season01_02.xlsx	Ass man is too cool for what you're doing.	엉덩이 남자는 네가 하는 일에 너무 멋있어.	10:53	10	53
김씨네편의점_season01_02.xlsx	-I'm gonna call you... -(KNOCK AT DOOR)	-내가 너를... -(똑똑)	10:55	10	55
김씨네편의점_season01_02.xlsx	Don't go anywhere, ass man.	어디도 가지 마, 엉덩이 남자.	10:57	10	57
김씨네편의점_season01_02.xlsx	Did you hear about this?	이거 들었어?	11:03	11	03
김씨네편의점_season01_02.xlsx	-Hi, Umma. -UMMA: About what?	-엄마, 안녕하세요. -엄마: 뭔데요?	11:04	11	04
김씨네편의점_season01_02.xlsx	I applied for a new job.	새로운 일자리에 지원했어.	11:07	11	07
김씨네편의점_season01_02.xlsx	That's great news.	정말 좋은 소식이네.	11:08	11	08
김씨네편의점_season01_02.xlsx	KIMCHEE: It's terrible news.	김치: 정말 끔찍한 소식이네.	11:09	11	09
김씨네편의점_season01_02.xlsx	Perfect time to leave car rental.	렌터카 사업을 떠날 때가 됐네.	11:10	11	10
김씨네편의점_season01_02.xlsx	Well, it's at the car rental.	음, 렌터카에 있잖아.	11:12	11	12
김씨네편의점_season01_02.xlsx	It's the worst job at our job.	우리 회사에서 제일 못하는 일이야.	11:15	11	15
김씨네편의점_season01_02.xlsx	UMMA: I thought you scrape gum?	엄마: 넌 껌 긁잖아?	11:17	11	17
김씨네편의점_season01_02.xlsx	What's worse than scrape gum?	껌 긁는 것보다 더 나쁜 게 뭔데?	11:19	11	19
김씨네편의점_season01_02.xlsx	Being an ass man.	똥 처리하는 남자.	11:21	11	21
김씨네편의점_season01_02.xlsx	Yeah, "ass man" sound worse.	"똥 처리하는 남자"가 더 심하게 들리네.	11:22	11	22
김씨네편의점_season01_02.xlsx	Assistant manager, Umma.	엄마, 총괄 계장이요.	11:25	11	25
김씨네편의점_season01_02.xlsx	And it's a good job.	그리고 좋은 일자리예요.	11:27	11	27
김씨네편의점_season01_02.xlsx	It's got more pay, benefits and more responsibility.	월급, 복지, 책임감도 더 많아요.	11:28	11	28
김씨네편의점_season01_02.xlsx	So does doctor or judge or website design.	의사나 판사나 웹사이트 디자인도 마찬가지예요.	11:31	11	31
김씨네편의점_season01_02.xlsx	KIMCHEE: Is anyone even listening to me?	김치: 아무도 내 말 듣고 있는 거야?	11:35	11	35
김씨네편의점_season01_02.xlsx	We've got great jobs!	우리 좋은 일자리가 얼마나 많은데!	11:36	11	36
김씨네편의점_season01_02.xlsx	The other day, I found a cake in the trunk of a car.	며칠 전에 차 트렁크에서 케이크를 발견했어요.	11:39	11	39
김씨네편의점_season01_02.xlsx	Would a judge find a cake?	판사가 케이크를 발견할까요?	11:43	11	43
김씨네편의점_season01_02.xlsx	Would a doctor find a cake?	의사가 케이크를 발견할까요?	11:45	11	45
김씨네편의점_season01_02.xlsx	This is a good opportunity, Umma.	엄마, 좋은 기회예요.	11:47	11	47
김씨네편의점_season01_02.xlsx	I thought you'd be happy.	엄마가 기뻐하실 줄 알았어요.	11:49	11	49
김씨네편의점_season01_02.xlsx	Yeah. Very happy.	네. 정말 기뻐요.	11:50	11	50
김씨네편의점_season01_02.xlsx	Now, you have great new job, I guess you don't need my food.	이제 엄마는 멋진 새로운 일자리가 생겼네요, 이제 내 음식 안 드실 거네요.	11:52	11	52
김씨네편의점_season01_02.xlsx	I didn't even get the job yet.	아직 일자리를 얻지도 못했는데요.	11:55	11	55
김씨네편의점_season01_02.xlsx	He doesn't even have the job yet. Good luck being assistant ass manager.	그는 아직 직업도 못 구했어. 총괄 똥 처리 담당자로서 행운을 빌어요.	11:57	11	57
김씨네편의점_season01_02.xlsx	JUNG: Umma...	정: 엄마...	12:01	12	01
김씨네편의점_season01_02.xlsx	Nice work, ass man.	잘했어, 궁디팡팡맨.	12:02	12	02
김씨네편의점_season01_02.xlsx	No more kimbap.	김밥은 이제 없어.	12:04	12	04
김씨네편의점_season01_02.xlsx	-How is this better? -(DOOR CLOSES)	-어떻게 이게 더 나아? -(문 닫힘)	12:05	12	05
김씨네편의점_season01_02.xlsx	WOMAN: This is really striking.	여자: 정말 인상적이네요.	12:14	12	14
김씨네편의점_season01_02.xlsx	You sure you don't want tree photo,	나무 사진 안 찍을래?	12:16	12	16
김씨네편의점_season01_02.xlsx	free of charge?	공짜로.	12:19	12	19
김씨네편의점_season01_02.xlsx	Here, take two, hmm?	자, 두 개 가져가, 음?	12:20	12	20
김씨네편의점_season01_02.xlsx	I'm good. Thanks.	됐어. 고마워.	12:21	12	21
김씨네편의점_season01_02.xlsx	Well, if you need more fire hydrant picture,	그래, 만약에 더 많은 소방사자 사진이 필요하면,	12:23	12	23
김씨네편의점_season01_02.xlsx	you let me know, huh.	말해 줘, 알았지.	12:26	12	26
